Tempo(s),Canal0(V),Canal2(V),Canal3(V),Label
157.57343888282776,2.16375,1.9235,2.08375,1
157.64441657066345,2.0035,1.76325,1.9235,1
157.71793913841248,2.204,1.683,1.80325,1
157.78916549682617,1.9635,1.9235,1.9235,1
157.86047053337097,1.9635,1.84325,1.56275,1
157.93177890777588,2.2840000000000003,2.04375,1.84325,1
158.0029969215393,2.08375,1.9235,1.88325,1
158.0744378566742,2.16375,1.9635,2.0035,1
158.1458203792572,2.08375,1.84325,1.84325,1
158.2171618938446,1.88325,1.76325,1.60275,1
158.28855299949646,1.76325,1.76325,1.88325,1
158.36096262931824,1.723,1.9235,1.88325,1
158.43234658241272,1.80325,1.683,1.643,1
158.5036859512329,1.80325,1.60275,1.4425,1
158.57524728775024,1.76325,1.683,1.4425,1
158.6465048789978,2.0035,1.56275,1.52275,1
158.71814131736755,1.76325,1.643,1.56275,1
158.78960394859314,1.723,1.60275,1.56275,1
158.8608193397522,1.9635,1.80325,1.683,1
158.9321005344391,1.76325,1.60275,1.52275,1
159.00346040725708,2.04375,1.683,1.723,1
159.07476663589478,2.16375,1.60275,1.683,1
159.1460201740265,2.204,1.76325,2.08375,1
159.21734476089478,2.2840000000000003,1.76325,2.0035,1
159.288551568985,2.32425,1.9235,2.244,1
159.35987305641174,2.0035,1.80325,1.9235,1
159.4331727027893,2.60475,1.723,2.0035,1
159.50433611869812,2.244,1.9235,2.0035,1
159.57588410377502,2.244,1.88325,1.9235,1
159.64706563949585,2.60475,1.76325,1.88325,1
159.72041392326355,2.0035,1.683,1.723,1
159.79181051254272,1.76325,1.683,1.683,1
159.86314964294434,1.723,1.683,1.56275,1
159.93472409248352,1.723,1.76325,1.60275,1
160.00618195533752,2.08375,1.60275,1.683,2
160.07743573188782,2.16375,1.723,2.04375,2
160.14873266220093,2.2840000000000003,1.84325,2.5645,2
160.22013545036316,1.9235,1.76325,1.9635,2
160.29152178764343,1.84325,1.56275,1.48275,2
160.3630728721619,1.9235,2.204,1.4425,2
160.43638682365415,1.9635,3.24575,1.60275,2
160.5077929496765,1.683,3.6065,1.4425,2
160.57905769348145,2.08375,4.56825,1.84325,2
160.65059447288513,2.4845,4.32775,2.204,2
160.7220332622528,2.16375,5.20925,2.16375,2
160.7933530807495,2.845,5.69,2.40425,2
160.8645796775818,2.5645,4.2475000000000005,2.204,2
160.9360101222992,2.4845,4.00725,2.244,2
